Temperature,Humidity,Wind Speed,Wind Direction,Dew Point,Pressure,Precipitation,Visibility,Cloud Cover,Weather Event
-0.0,36.6,38.04,131.05,-7.08,1002.18,11.31,3.58,83.05,Snow
11.66,60.57,3.07,203.95,5.15,1007.73,20.34,2.05,96.04,Rain
17.58,36.79,14.89,82.37,10.59,1022.58,31.54,6.33,72.47,Rain
23.59,61.48,13.5,-4.84,14.53,995.36,32.49,5.11,87.35,Thunderstorm
21.14,37.57,19.48,270.59,18.07,1013.61,4.14,9.01,49.67,Cloudy
24.92,42.24,30.07,266.58,18.18,1013.75,5.15,8.45,19.99,Clear
-4.46,48.38,37.79,226.45,-11.05,1003.11,16.84,0.94,66.02,Snow
25.93,41.21,26.32,256.13,23.2,1001.67,88.53,2.69,93.56,Thunderstorm
28.61,52.18,29.66,83.04,24.43,1012.48,4.74,14.82,4.19,Clear
15.16,33.48,36.6,167.38,8.49,1027.49,1.3,1.17,97.39,Fog
17.18,57.88,29.6,124.75,7.53,1008.77,4.32,3.81,85.45,Rain
22.98,86.59,23.01,164.92,15.88,999.65,2.01,9.3,55.95,Cloudy
33.83,64.97,12.4,294.57,28.96,1011.43,-3.58,13.57,-1.11,Clear
25.07,76.74,23.95,302.06,15.48,1016.2,-4.48,9.86,8.59,Clear
30.23,58.42,5.7,114.02,21.39,1005.9,2.77,10.55,14.14,Clear
26.59,82.43,18.08,37.54,24.68,1011.86,5.22,13.83,5.91,Clear
15.56,51.36,5.73,182.55,10.75,1017.12,16.94,3.42,86.87,Rain
8.29,70.3,4.89,95.06,6.16,1006.66,13.75,2.21,90.72,Snow
26.06,53.63,19.03,228.47,20.7,1013.75,65.68,1.97,80.7,Thunderstorm
26.13,68.96,21.06,18.17,21.19,1009.89,-0.8,6.06,44.31,Cloudy
19.37,53.96,22.96,118.61,13.46,992.67,-1.74,12.23,12.3,Clear
6.3,52.74,18.89,260.29,2.4,1015.01,-0.82,0.73,90.24,Fog
9.81,56.59,27.81,133.1,7.97,1008.09,35.5,5.66,91.87,Rain
15.67,52.86,19.9,4.44,8.92,1022.59,1.24,7.96,65.72,Cloudy
27.94,86.45,16.15,205.73,21.5,1026.44,-2.87,6.51,83.75,Cloudy
20.82,66.3,2.33,117.35,13.73,1030.84,-5.18,12.37,2.15,Clear
24.8,34.48,17.08,312.51,14.82,1009.54,4.52,14.51,17.9,Clear
20.23,39.89,23.24,298.33,15.38,1001.78,-0.16,7.25,69.28,Cloudy
22.51,84.3,23.5,69.33,20.15,1004.48,6.25,9.95,75.78,Cloudy
30.73,74.96,37.75,52.45,20.85,1015.18,-3.28,13.13,10.13,Clear
29.43,58.39,31.02,335.19,27.19,1023.28,7.26,6.0,68.06,Cloudy
22.45,60.86,30.06,42.38,18.13,1005.43,7.41,6.65,73.01,Rain
23.23,41.61,31.71,286.18,15.58,1006.12,3.7,3.66,75.8,Rain
29.98,87.58,9.44,189.06,21.52,1010.77,28.29,4.99,92.98,Thunderstorm
26.32,74.18,23.29,221.9,17.22,1005.75,2.08,8.83,7.41,Clear
29.41,56.92,29.64,172.34,26.58,1006.07,68.38,3.46,87.83,Thunderstorm
21.11,50.34,14.27,319.09,11.61,1014.55,2.33,11.25,15.1,Clear
23.14,75.58,33.15,246.86,20.81,1008.2,0.96,10.95,2.6,Clear
16.59,58.86,32.29,235.82,7.04,1014.93,-0.63,5.96,77.33,Cloudy
16.57,46.64,10.7,9.26,10.02,996.3,6.06,4.78,87.07,Rain
28.35,63.27,14.12,278.89,17.87,1000.21,4.46,8.42,-2.13,Clear
17.31,46.32,12.87,361.12,15.84,1019.58,18.14,1.9,77.21,Rain
15.78,92.78,34.36,209.9,12.93,1018.95,6.29,6.24,83.11,Rain
26.57,67.57,16.31,103.68,17.82,1003.48,54.57,3.33,78.82,Thunderstorm
24.58,50.5,6.3,61.81,16.69,1012.32,83.74,4.3,104.97,Thunderstorm
24.93,44.82,21.18,238.48,21.93,1014.7,34.05,5.25,79.11,Rain
12.64,76.28,-2.46,141.32,9.05,1017.89,20.94,5.64,77.21,Rain
23.79,46.11,39.74,24.0,18.62,1016.83,0.02,8.49,70.87,Cloudy
12.68,80.32,18.56,0.1,9.94,1013.85,48.55,4.76,88.61,Rain
26.48,91.5,18.46,171.41,23.0,1008.56,-4.94,9.28,9.05,Clear
29.2,74.87,24.1,316.49,24.8,1001.35,24.69,0.85,85.11,Thunderstorm
7.8,45.0,1.44,339.79,0.94,1009.89,4.18,1.08,98.53,Fog
32.55,54.68,23.91,202.3,29.72,1024.59,90.21,2.24,88.5,Thunderstorm
11.58,58.96,39.28,257.43,6.64,1024.96,18.11,2.89,85.81,Rain
28.5,69.09,19.13,67.28,20.41,1020.82,79.65,4.66,85.57,Thunderstorm
22.4,82.64,21.5,300.93,14.09,1004.13,6.42,4.41,93.74,Rain
29.59,84.84,1.53,20.13,24.94,1009.76,-1.37,12.96,4.77,Clear
27.05,44.63,17.62,236.17,19.45,1027.01,-2.41,11.89,1.57,Clear
33.4,57.07,27.72,121.68,28.76,1008.0,-2.28,13.44,7.0,Clear
33.66,36.71,25.84,81.72,23.49,1025.23,-2.43,12.84,14.21,Clear
34.88,79.41,24.71,242.08,32.91,1022.4,5.94,11.4,5.84,Clear
5.05,51.13,32.42,149.01,-0.02,1013.5,0.09,0.72,96.52,Fog
9.45,40.11,7.28,172.2,2.91,1010.88,51.68,7.41,98.51,Rain
29.98,74.53,1.97,334.01,23.26,1021.6,0.24,11.96,13.24,Clear
26.05,37.74,11.36,1.92,19.23,1010.28,-1.95,8.66,73.33,Cloudy
21.12,43.11,37.15,234.96,16.46,1014.1,-1.4,14.32,11.12,Clear
-0.54,65.63,32.67,142.98,-7.11,997.48,24.69,5.74,78.89,Snow
29.14,68.39,2.69,7.28,21.31,1009.75,-3.23,11.83,-0.4,Clear
17.67,88.99,21.77,155.65,10.46,1016.26,0.44,9.59,66.68,Cloudy
11.27,40.88,7.6,313.57,5.06,1012.73,34.06,2.64,92.13,Rain
30.53,57.11,31.37,76.69,21.41,1004.08,48.55,4.07,85.87,Thunderstorm
24.53,35.77,2.22,287.38,14.66,1001.77,-4.06,6.78,80.79,Cloudy
9.28,69.51,2.04,279.66,7.23,1006.36,42.34,6.85,76.26,Rain
20.14,46.38,32.45,276.05,13.61,1030.62,26.82,3.09,76.31,Rain
27.6,56.68,4.26,147.46,20.85,1023.42,-2.14,14.82,3.72,Clear
29.58,62.89,28.37,287.91,25.33,1003.3,-2.85,8.92,5.56,Clear
29.47,88.53,15.42,368.38,20.26,1027.58,-4.79,14.68,18.64,Clear
31.19,31.36,2.34,138.27,24.32,999.53,80.28,3.22,98.18,Thunderstorm
25.46,66.19,41.17,165.45,19.86,1020.21,7.93,6.76,64.41,Cloudy
15.66,74.02,1.86,248.25,11.47,1013.59,5.27,0.0,97.55,Fog
30.44,74.11,3.9,283.77,23.45,1001.14,1.39,11.24,3.95,Clear
34.07,63.83,-0.73,139.94,27.9,1015.45,5.5,9.8,9.36,Clear
6.64,73.04,20.68,17.52,4.96,1021.94,9.52,0.06,87.24,Fog
26.34,32.07,8.73,287.38,20.43,1006.27,-4.21,9.53,8.23,Clear
31.08,54.93,3.69,168.51,25.12,1022.43,0.65,9.23,5.33,Clear
26.31,74.03,16.49,263.23,19.47,1008.97,6.71,14.0,3.78,Clear
17.34,78.63,33.83,116.78,8.57,1020.15,43.73,5.55,86.43,Rain
27.91,65.39,20.95,91.87,25.03,1018.21,-3.71,11.16,2.39,Clear
28.56,42.58,7.13,307.16,23.56,1012.2,3.91,8.13,66.55,Cloudy
28.55,29.9,6.73,326.08,23.29,1012.34,6.59,13.2,12.6,Clear
22.59,62.02,36.48,166.97,20.4,1000.68,-3.23,8.08,-0.66,Clear
12.0,42.94,17.0,148.68,9.49,1020.74,45.18,1.53,95.1,Rain
13.05,37.34,29.31,98.92,5.3,1002.86,52.03,6.03,84.01,Rain
31.36,73.24,11.52,26.7,26.99,1009.6,-4.83,9.31,8.63,Clear
21.76,60.2,31.57,220.17,13.69,1000.12,-3.43,8.16,70.71,Cloudy
30.17,68.72,5.73,121.06,20.84,1014.66,51.95,3.27,78.69,Thunderstorm
28.07,75.88,39.19,208.69,18.7,1029.61,3.95,8.29,72.64,Cloudy
33.85,35.17,26.75,238.11,30.44,996.87,6.62,10.66,6.79,Clear
21.37,54.19,23.08,203.72,13.36,1018.75,-1.3,13.33,-0.8,Clear
23.25,41.85,34.28,137.23,19.61,1014.96,0.32,6.09,89.59,Cloudy
10.78,38.34,38.51,23.29,4.2,1033.57,42.26,3.8,71.44,Rain
25.61,32.95,5.21,284.09,19.66,1013.73,4.29,9.29,90.66,Cloudy
4.92,57.22,22.32,161.19,-4.31,1024.18,20.8,2.94,93.62,Snow
24.82,49.38,10.24,83.11,15.83,1027.61,74.06,4.61,92.86,Thunderstorm
5.7,71.83,7.45,68.91,1.57,1006.22,-1.99,0.28,102.35,Fog
24.7,32.94,22.08,69.88,16.87,1010.37,-0.04,7.53,10.19,Clear
27.28,74.92,2.14,157.38,20.52,1008.56,5.12,10.71,0.12,Clear
28.45,47.37,34.79,157.14,18.74,1018.43,53.63,2.15,86.54,Thunderstorm
27.86,35.02,9.89,152.43,24.57,1004.93,-1.59,7.78,90.19,Cloudy
23.18,46.5,34.08,293.68,20.36,1026.33,5.99,9.97,23.07,Clear
19.77,46.98,24.24,148.8,13.88,1000.69,49.06,7.04,87.58,Rain
19.73,87.05,10.0,102.06,16.24,1009.0,64.72,3.87,85.89,Thunderstorm
13.97,45.5,28.2,10.51,7.75,1020.58,35.07,5.64,79.54,Rain
20.5,33.25,17.34,56.75,14.03,1029.22,-4.85,11.92,17.22,Clear
30.1,63.9,37.76,248.88,20.17,1031.01,-3.11,12.87,6.06,Clear
15.35,61.51,2.95,311.9,7.44,1029.19,0.79,6.01,71.79,Rain
29.14,64.12,3.7,140.01,23.56,1005.22,-3.9,6.76,68.15,Cloudy
32.19,76.67,11.65,247.57,27.0,1004.07,74.82,4.69,92.76,Thunderstorm
11.38,46.39,26.78,59.41,0.96,1016.2,30.19,1.72,74.19,Rain
18.92,73.7,21.06,85.07,12.73,1017.14,2.79,6.77,78.75,Cloudy
27.23,43.63,31.87,124.56,22.53,1025.73,6.45,5.57,79.01,Cloudy
15.45,56.3,29.31,158.27,9.55,1010.53,1.28,7.45,87.83,Cloudy
23.27,59.87,22.68,110.52,17.53,1023.3,5.94,5.49,97.08,Rain
32.17,35.55,35.7,95.98,28.83,1006.76,1.79,13.04,11.1,Clear
28.3,81.94,37.83,70.44,25.81,1014.77,67.49,3.66,101.6,Thunderstorm
33.5,76.23,4.93,228.25,31.24,1009.81,-4.98,14.33,10.0,Clear
19.3,71.3,23.43,346.09,11.95,1021.45,25.23,2.55,93.19,Rain
28.74,52.47,5.59,125.75,23.58,990.25,0.21,7.66,12.27,Clear
27.19,28.1,-0.13,199.22,25.63,1010.64,31.62,1.01,82.69,Thunderstorm
26.84,76.45,5.0,187.01,25.11,1001.83,-5.3,9.77,7.45,Clear
25.38,50.43,1.95,292.43,18.96,1031.97,-2.41,7.26,86.59,Cloudy
28.8,52.88,37.21,282.72,20.81,1025.92,82.69,3.12,88.9,Thunderstorm
24.28,40.22,13.64,70.62,15.98,1017.3,-1.11,8.32,65.03,Cloudy
22.62,58.95,21.07,252.97,18.28,997.37,5.26,8.87,65.13,Cloudy
26.58,58.28,0.24,109.86,24.55,1018.66,-0.17,8.87,9.9,Clear
27.54,35.69,25.43,224.21,22.55,1013.49,-2.81,5.89,73.26,Cloudy
22.98,31.33,19.01,98.99,13.61,1021.71,5.59,8.8,60.79,Cloudy
23.96,75.92,41.2,114.79,21.08,1009.4,4.72,7.82,62.66,Cloudy
14.42,48.3,28.43,117.68,6.64,1018.91,15.85,6.44,83.73,Rain
19.47,71.66,8.72,87.86,11.93,1027.61,-1.27,9.56,58.32,Cloudy
15.88,52.72,33.83,319.85,7.13,1006.64,5.03,6.66,75.96,Cloudy
25.59,77.33,37.07,245.99,17.89,1020.06,3.61,12.3,13.49,Clear
30.69,79.55,8.75,188.28,22.95,1009.05,4.41,14.18,6.17,Clear
20.04,85.46,3.95,305.51,10.68,998.39,44.74,6.46,68.31,Rain
29.24,49.56,20.47,316.93,22.53,1022.38,-4.37,8.49,65.67,Cloudy
13.9,67.95,16.86,271.15,9.5,1014.23,12.56,3.08,70.59,Rain
8.39,35.51,4.05,332.29,5.45,1012.76,13.33,3.89,67.36,Snow
19.88,31.04,31.14,165.17,14.46,1012.34,6.33,12.83,16.67,Clear
19.98,44.82,14.55,289.91,10.46,1027.47,28.51,0.71,88.61,Thunderstorm
21.78,84.23,10.85,330.03,17.04,1004.64,1.99,4.85,82.66,Cloudy
24.36,84.29,32.4,292.82,18.75,1009.38,95.66,4.01,83.15,Thunderstorm
21.03,41.89,5.56,190.1,13.38,1013.4,0.09,4.79,93.67,Cloudy
14.68,58.91,7.23,53.56,10.13,1000.57,-1.81,6.52,91.36,Cloudy
20.83,47.85,24.56,56.36,12.1,1009.43,17.41,5.96,84.76,Rain
27.94,36.13,34.4,231.95,20.09,1008.3,-2.5,9.95,0.52,Clear
32.18,54.51,14.86,72.19,28.97,1023.2,-3.12,9.91,5.02,Clear
16.44,75.44,32.53,91.49,13.06,1015.48,19.87,7.67,82.89,Rain
4.32,76.81,19.44,139.59,-4.99,1021.88,7.07,3.32,81.0,Snow
23.58,75.51,6.91,268.98,20.69,1019.86,2.0,8.09,73.49,Cloudy
25.57,36.37,4.43,92.15,16.95,1018.04,3.97,14.96,8.61,Clear
32.32,53.46,23.25,181.07,28.26,1004.56,4.95,9.15,5.79,Clear
23.62,37.2,13.24,313.86,18.95,1016.42,-4.59,7.95,62.5,Cloudy
23.01,54.19,40.16,340.0,15.72,1015.2,3.1,7.5,63.61,Cloudy
31.13,34.33,25.96,101.38,27.14,1012.53,-4.82,11.03,12.55,Clear
26.07,40.79,21.41,84.68,19.87,1020.02,-0.61,5.98,75.49,Cloudy
15.4,37.17,1.99,167.96,11.16,1012.62,-0.3,5.87,59.87,Cloudy
25.9,83.11,26.75,225.75,20.51,1006.83,21.68,2.31,98.71,Rain
18.28,81.83,18.19,19.68,13.45,1016.65,-2.76,8.39,70.81,Cloudy
23.86,35.59,10.52,279.04,18.88,1008.37,20.94,4.87,79.41,Rain
33.9,34.26,30.32,189.18,31.52,1012.56,5.5,11.31,7.9,Clear
24.65,57.06,10.02,260.25,14.68,1014.55,31.95,3.93,84.93,Rain
22.19,56.25,19.6,78.47,18.13,1007.44,25.69,2.58,78.69,Rain
25.02,34.44,33.28,220.15,20.03,1026.91,-5.41,13.13,-0.81,Clear
11.32,87.2,25.07,309.88,5.31,1005.49,6.62,1.08,90.23,Fog
12.06,62.46,10.35,40.4,3.77,1011.84,-1.18,1.6,99.7,Fog
33.25,78.38,-0.41,252.82,28.94,1012.34,-5.25,12.6,19.96,Clear
22.96,58.0,34.77,234.23,13.28,1001.78,6.34,5.86,58.65,Cloudy
28.65,59.7,5.82,176.53,23.37,1011.62,-3.2,9.86,49.59,Cloudy
1.61,44.86,29.12,351.98,-4.64,1017.02,11.64,5.26,80.86,Snow
25.47,90.75,16.47,57.9,20.57,1013.03,-0.17,8.58,59.03,Cloudy
20.58,60.01,39.11,300.02,14.69,1028.35,-0.82,8.57,12.29,Clear
35.88,43.03,38.62,154.27,30.0,1021.05,-1.32,10.14,7.67,Clear
26.07,54.0,25.96,92.41,18.53,1002.77,-4.55,12.6,8.32,Clear
32.54,38.66,35.57,67.11,25.66,1008.39,-0.85,12.42,6.02,Clear
20.22,39.32,11.28,190.47,11.97,1005.77,1.19,0.58,89.01,Fog
31.2,51.99,11.43,267.51,20.81,1025.08,3.18,11.57,7.49,Clear
28.54,68.13,0.44,171.43,25.1,1028.51,0.34,6.44,87.2,Cloudy
32.56,71.43,27.76,212.24,26.95,1012.71,-2.05,11.16,17.37,Clear
20.5,82.97,16.33,244.88,12.1,1008.49,-5.3,9.15,3.82,Clear
5.16,67.97,28.09,225.31,-5.25,1014.78,23.91,6.04,93.81,Snow
27.49,39.5,41.77,144.29,23.18,1011.96,46.0,2.65,100.26,Thunderstorm
26.58,86.67,18.25,250.57,18.44,1005.85,1.21,14.79,8.49,Clear
31.03,43.73,35.82,89.06,26.77,1010.49,3.94,8.96,6.87,Clear
17.14,61.19,5.63,23.15,7.55,1014.92,-0.82,7.58,53.89,Cloudy
19.44,66.98,11.86,52.03,11.4,1007.45,5.29,7.02,91.93,Rain
21.19,79.06,12.29,126.84,19.06,1017.23,12.47,6.97,77.43,Rain
27.62,65.55,7.37,221.37,23.05,1004.54,0.46,6.21,69.61,Cloudy
0.17,38.09,34.29,347.18,-9.07,1003.13,-0.58,1.38,87.52,Snow
28.74,31.86,38.88,132.14,22.76,1007.64,-2.18,8.19,18.65,Clear
30.87,73.6,42.11,239.51,21.78,1013.92,65.92,2.41,100.48,Thunderstorm
-1.25,71.28,1.3,332.39,-9.46,1014.53,0.32,3.5,89.74,Snow
16.37,30.65,35.0,310.06,12.25,1016.47,29.18,3.67,94.9,Rain
20.82,77.5,2.59,357.19,14.89,1015.24,-1.8,7.69,3.38,Clear
3.48,59.26,27.32,134.16,0.67,1014.35,23.85,5.15,94.4,Snow
19.2,33.78,2.91,76.48,10.99,1013.12,14.48,7.76,85.35,Rain
18.69,64.66,17.77,158.71,13.57,1019.98,-2.95,12.99,5.41,Clear
27.21,55.73,24.22,357.84,21.45,1008.52,81.49,4.03,86.16,Thunderstorm
19.93,55.55,22.11,184.34,14.2,1004.73,-3.36,7.8,77.44,Cloudy
17.72,67.41,21.09,337.94,10.07,1034.72,4.41,8.78,51.12,Cloudy
34.49,76.17,6.92,98.6,29.75,998.81,4.59,8.41,17.2,Clear
28.76,55.36,31.84,338.17,20.56,1001.72,-4.04,15.14,12.24,Clear
29.27,81.73,6.22,211.64,27.96,1014.67,73.81,1.13,89.18,Thunderstorm
30.28,75.73,6.86,73.23,22.75,1011.65,-4.61,11.94,19.89,Clear
12.39,70.8,22.15,29.75,4.21,1017.73,-1.19,1.02,94.69,Fog
14.18,77.94,35.23,43.59,11.25,1010.07,6.26,7.67,90.81,Rain
21.96,59.24,21.69,296.6,17.28,998.83,-0.53,5.06,85.63,Cloudy
26.33,29.99,22.07,126.78,16.39,1016.46,-0.26,12.79,8.44,Clear
26.15,60.28,26.99,297.86,16.89,1004.82,-3.48,6.71,63.16,Cloudy
11.91,59.93,29.05,349.04,3.73,1023.42,6.01,2.14,92.7,Fog
23.9,75.85,0.21,34.15,14.68,1011.02,4.62,12.88,10.09,Clear
24.43,57.02,0.64,18.99,15.99,1028.04,6.2,3.26,77.51,Rain
28.47,33.16,22.36,301.48,22.36,1007.93,-1.7,6.43,54.51,Cloudy
13.37,41.11,27.41,343.25,9.66,1009.09,6.13,6.04,99.4,Rain
33.49,49.06,2.03,41.42,29.18,1008.28,-3.81,13.96,2.21,Clear
28.29,92.52,16.08,329.71,24.67,1017.81,2.45,14.78,13.53,Clear
26.88,62.4,33.22,29.92,23.19,1012.64,3.82,8.67,59.04,Cloudy
35.65,65.83,2.71,225.26,25.44,1010.68,2.42,9.55,13.21,Clear
26.66,69.31,24.96,169.56,20.4,1017.69,92.7,1.65,92.23,Thunderstorm
